threshold_A,threshold_B,accuracy,balanced_accuracy,valid_physical_pair,n,tp,tn,fp,fn
0.085,0.035,0.9596,0.9155,True,2500,1978.0,421.0,79.0,22.0
0.085,0.045,0.94,0.8605,True,2500,1986.0,364.0,136.0,14.0
0.085,0.055,0.8976,0.75375,True,2500,1987.0,257.0,243.0,13.0
0.085,0.065,0.8456,0.6192500000000001,True,2500,1993.0,121.0,379.0,7.0
0.085,0.075,0.8116,0.52975,True,2500,1999.0,30.0,470.0,1.0
0.085,0.085,,0.0,False,2500,,,,
0.095,-0.125,0.9408,0.948,True,2500,1872.0,480.0,20.0,128.0
0.095,-0.115,0.9432,0.9495,True,2500,1878.0,480.0,20.0,122.0
0.095,-0.105,0.9464,0.9515,True,2500,1886.0,480.0,20.0,114.0
0.095,-0.095,0.9508,0.95425,True,2500,1897.0,480.0,20.0,103.0
0.095,-0.085,0.9544,0.9565,True,2500,1906.0,480.0,20.0,94.0
0.095,-0.075,0.9564,0.95775,True,2500,1911.0,480.0,20.0,89.0
0.095,-0.065,0.9596,0.95975,True,2500,1919.0,480.0,20.0,81.0
0.095,-0.055,0.964,0.9625,True,2500,1930.0,480.0,20.0,70.0
0.095,-0.045,0.9668,0.96425,True,2500,1937.0,480.0,20.0,63.0
0.095,-0.035,0.9688,0.9655,True,2500,1942.0,480.0,20.0,58.0
0.095,-0.025,0.9696,0.966,True,2500,1944.0,480.0,20.0,56.0
0.095,-0.015,0.9728,0.968,True,2500,1952.0,480.0,20.0,48.0
0.095,-0.005,0.9732,0.96825,True,2500,1953.0,480.0,20.0,47.0
0.095,0.005,0.974,0.96875,True,2500,1955.0,480.0,20.0,45.0
0.095,0.015,0.9748,0.96925,True,2500,1957.0,480.0,20.0,43.0
0.095,0.025,0.974,0.96575,True,2500,1959.0,476.0,24.0,41.0
0.095,0.035,0.9684,0.94875,True,2500,1963.0,458.0,42.0,37.0
0.095,0.045,0.948,0.8895,True,2500,1974.0,396.0,104.0,26.0
0.095,0.055,0.9044,0.7745,True,2500,1982.0,279.0,221.0,18.0
0.095,0.065,0.8484,0.6285000000000001,True,2500,1990.0,131.0,369.0,10.0
0.095,0.075,0.8136,0.5347500000000001,True,2500,1999.0,35.0,465.0,1.0
0.095,0.085,0.8008,0.502,True,2500,2000.0,2.0,498.0,0.0
0.105,-0.125,0.922,0.94525,True,2500,1813.0,492.0,8.0,187.0
