threshold_A,threshold_B,valid_physical_pair,n,predicted_leakage,predicted_no_leakage,no_leakage_between_A_B,accuracy,precision,recall,f1,tn,fp,fn,tp,balanced_accuracy
0.115,-0.045,True,2500,1861.0,639.0,639.0,0.9388,0.9962385814078453,0.927,0.9603729603729604,493.0,7.0,146.0,1854.0,0.9565
0.125,0.015,True,2500,1851.0,649.0,649.0,0.9388,0.9989195029713668,0.9245,0.9602700597247469,498.0,2.0,151.0,1849.0,0.96025
0.085,-0.125,True,2500,1967.0,533.0,533.0,0.938,0.9689883070665989,0.953,0.9609276531383917,439.0,61.0,94.0,1906.0,0.9155
0.125,0.035,True,2500,1896.0,604.0,604.0,0.9376,0.9862869198312236,0.935,0.959958932238193,474.0,26.0,130.0,1870.0,0.9415
0.125,0.005,True,2500,1845.0,655.0,655.0,0.9364,0.9989159891598915,0.9215,0.9586475942782835,498.0,2.0,157.0,1843.0,0.95875
0.105,-0.095,True,2500,1854.0,646.0,646.0,0.9352,0.9956850053937433,0.923,0.9579657498702647,492.0,8.0,154.0,1846.0,0.9535
0.115,-0.055,True,2500,1851.0,649.0,649.0,0.9348,0.9962182603997839,0.922,0.9576733316021813,493.0,7.0,156.0,1844.0,0.954
0.125,-0.005,True,2500,1840.0,660.0,660.0,0.9344,0.9989130434782608,0.919,0.9572916666666665,498.0,2.0,162.0,1838.0,0.9575
0.125,-0.015,True,2500,1838.0,662.0,662.0,0.9336,0.998911860718172,0.918,0.9567483064095884,498.0,2.0,164.0,1836.0,0.9570000000000001
0.115,0.045,True,2500,2017.0,483.0,483.0,0.9316,0.9533961328705999,0.9615,0.9574309185959671,406.0,94.0,77.0,1923.0,0.88675
0.115,-0.065,True,2500,1839.0,661.0,661.0,0.93,0.9961935834692768,0.916,0.9544152122948685,493.0,7.0,168.0,1832.0,0.9510000000000001
0.105,-0.105,True,2500,1840.0,660.0,660.0,0.9296,0.9956521739130435,0.916,0.9541666666666666,492.0,8.0,168.0,1832.0,0.95
0.125,-0.025,True,2500,1825.0,675.0,675.0,0.9284,0.9989041095890411,0.9115,0.9532026143790849,498.0,2.0,177.0,1823.0,0.95375
0.125,0.045,True,2500,1996.0,504.0,504.0,0.9264,0.9549098196392786,0.953,0.953953953953954,410.0,90.0,94.0,1906.0,0.8865
0.125,-0.035,True,2500,1820.0,680.0,680.0,0.9264,0.9989010989010989,0.909,0.9518324607329843,498.0,2.0,182.0,1818.0,0.9525
0.105,-0.115,True,2500,1829.0,671.0,671.0,0.9252,0.9956260251503554,0.9105,0.9511621833376861,492.0,8.0,179.0,1821.0,0.9472499999999999
0.135,0.025,True,2500,1821.0,679.0,679.0,0.9252,0.9978034047226798,0.9085,0.9510599319549856,496.0,4.0,183.0,1817.0,0.95025
0.115,-0.075,True,2500,1826.0,674.0,674.0,0.9248,0.9961664841182913,0.9095,0.9508625196027182,493.0,7.0,181.0,1819.0,0.94775
0.075,0.015,True,2500,2163.0,337.0,337.0,0.9244,0.9186315302820157,0.9935,0.9546000480422773,324.0,176.0,13.0,1987.0,0.8207500000000001
0.075,0.025,True,2500,2166.0,334.0,334.0,0.924,0.9178208679593721,0.994,0.9543927028324533,322.0,178.0,12.0,1988.0,0.819
0.135,0.035,True,2500,1858.0,642.0,642.0,0.924,0.9870828848223897,0.917,0.9507516848107829,476.0,24.0,166.0,1834.0,0.9345
0.075,-0.005,True,2500,2161.0,339.0,339.0,0.9236,0.9185562239703841,0.9925,0.9540975726988704,324.0,176.0,15.0,1985.0,0.82025
0.075,0.005,True,2500,2161.0,339.0,339.0,0.9236,0.9185562239703841,0.9925,0.9540975726988704,324.0,176.0,15.0,1985.0,0.82025
0.135,0.015,True,2500,1809.0,691.0,691.0,0.9236,1.0,0.9045,0.9498556051457074,500.0,0.0,191.0,1809.0,0.95225
0.075,-0.015,True,2500,2160.0,340.0,340.0,0.9232,0.9185185185185185,0.992,0.9538461538461539,324.0,176.0,16.0,1984.0,0.8200000000000001
0.125,-0.045,True,2500,1811.0,689.0,689.0,0.9228,0.9988956377691883,0.9045,0.9493571241144058,498.0,2.0,191.0,1809.0,0.95025
0.105,-0.125,True,2500,1821.0,679.0,679.0,0.922,0.9956068094453597,0.9065,0.9489662392043967,492.0,8.0,187.0,1813.0,0.9452499999999999
0.115,-0.085,True,2500,1818.0,682.0,682.0,0.9216,0.9961496149614961,0.9055,0.9486642221058146,493.0,7.0,189.0,1811.0,0.94575
0.075,0.035,True,2500,2177.0,323.0,323.0,0.9212,0.9141019751952227,0.995,0.9528369643284654,313.0,187.0,10.0,1990.0,0.8105
0.075,-0.025,True,2500,2154.0,346.0,346.0,0.9208,0.9182915506035283,0.989,0.9523350987000481,324.0,176.0,22.0,1978.0,0.8185
0.075,-0.035,True,2500,2153.0,347.0,347.0,0.9204,0.9182535996284255,0.9885,0.9520828316879365,324.0,176.0,23.0,1977.0,0.81825
